Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-09-12 10:00:00+03:00,123.22,sees,väljas,sees,sees,sees,väljas
2023-09-12 11:00:00+03:00,108.44,sees,väljas,sees,väljas,sees,väljas
2023-09-12 12:00:00+03:00,13.16,sees,väljas,sees,sees,sees,väljas
2023-09-12 13:00:00+03:00,12.57,sees,väljas,sees,sees,sees,väljas
2023-09-12 14:00:00+03:00,12.28,sees,sees,sees,sees,sees,sees
2023-09-12 15:00:00+03:00,12.35,sees,sees,sees,sees,sees,väljas
2023-09-12 16:00:00+03:00,12.78,sees,väljas,sees,sees,sees,väljas
2023-09-12 17:00:00+03:00,40.0,sees,väljas,sees,sees,sees,väljas
2023-09-12 18:00:00+03:00,200.03,sees,väljas,sees,sees,sees,väljas
2023-09-12 19:00:00+03:00,187.01,sees,väljas,sees,sees,sees,väljas
2023-09-12 20:00:00+03:00,250.0,väljas,väljas,väljas,väljas,väljas,väljas
2023-09-12 21:00:00+03:00,184.4,sees,väljas,sees,sees,sees,väljas
2023-09-12 22:00:00+03:00,136.62,sees,väljas,sees,sees,sees,väljas
2023-09-12 23:00:00+03:00,115.55,sees,väljas,sees,sees,sees,väljas
2023-09-13 00:00:00+03:00,93.77,sees,väljas,sees,sees,sees,väljas
2023-09-13 01:00:00+03:00,106.45,sees,väljas,sees,sees,sees,väljas
2023-09-13 02:00:00+03:00,99.9,sees,väljas,sees,sees,sees,väljas
2023-09-13 03:00:00+03:00,100.48,sees,väljas,sees,sees,sees,väljas
2023-09-13 04:00:00+03:00,100.98,sees,väljas,sees,sees,sees,väljas
2023-09-13 05:00:00+03:00,167.42,väljas,väljas,väljas,väljas,väljas,väljas
2023-09-13 06:00:00+03:00,105.82,sees,väljas,sees,sees,sees,väljas
2023-09-13 07:00:00+03:00,137.35,sees,väljas,sees,sees,sees,väljas
2023-09-13 08:00:00+03:00,149.97,sees,väljas,sees,sees,sees,väljas
2023-09-13 09:00:00+03:00,200.0,sees,väljas,sees,sees,sees,väljas
2023-09-13 10:00:00+03:00,170.15,sees,väljas,sees,sees,sees,väljas
2023-09-13 11:00:00+03:00,200.06,sees,väljas,sees,sees,sees,väljas
2023-09-13 12:00:00+03:00,200.01,väljas,väljas,väljas,väljas,väljas,väljas
2023-09-13 13:00:00+03:00,150.0,sees,väljas,sees,sees,sees,väljas
2023-09-13 14:00:00+03:00,119.99,sees,väljas,sees,sees,sees,väljas
2023-09-13 15:00:00+03:00,92.23,sees,sees,sees,sees,sees,sees
2023-09-13 16:00:00+03:00,100.78,sees,sees,sees,sees,sees,väljas
2023-09-13 17:00:00+03:00,180.01,väljas,väljas,väljas,väljas,väljas,väljas
2023-09-13 18:00:00+03:00,141.0,sees,väljas,sees,sees,sees,väljas
2023-09-13 19:00:00+03:00,152.4,sees,väljas,sees,sees,sees,väljas
2023-09-13 20:00:00+03:00,160.45,sees,väljas,sees,sees,sees,väljas
2023-09-13 21:00:00+03:00,142.0,sees,väljas,sees,sees,sees,väljas
2023-09-13 22:00:00+03:00,122.79,sees,väljas,sees,sees,sees,väljas
2023-09-13 23:00:00+03:00,106.41,sees,väljas,sees,sees,sees,väljas
Kuupäev,Hind
2023-09-14 00:00:00+03:00,98.07
