Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-11-27 14:00:00+02:00,163.42,sees,väljas,sees,sees,sees,väljas
2023-11-27 15:00:00+02:00,169.68,sees,väljas,sees,sees,sees,väljas
2023-11-27 16:00:00+02:00,160.21,sees,väljas,sees,sees,sees,väljas
2023-11-27 17:00:00+02:00,150.54,sees,väljas,sees,sees,sees,väljas
2023-11-27 18:00:00+02:00,150.78,sees,väljas,sees,sees,sees,väljas
2023-11-27 19:00:00+02:00,150.31,sees,väljas,sees,sees,sees,väljas
2023-11-27 20:00:00+02:00,116.84,sees,väljas,sees,sees,sees,väljas
2023-11-27 21:00:00+02:00,94.74,sees,väljas,sees,sees,sees,väljas
2023-11-27 22:00:00+02:00,80.74,sees,väljas,sees,sees,sees,väljas
2023-11-27 23:00:00+02:00,77.74,sees,sees,sees,sees,sees,sees
2023-11-28 00:00:00+02:00,70.49,sees,sees,sees,sees,sees,väljas
2023-11-28 01:00:00+02:00,67.47,sees,sees,sees,sees,sees,väljas
2023-11-28 02:00:00+02:00,64.69,sees,sees,sees,sees,sees,sees
2023-11-28 03:00:00+02:00,68.29,sees,väljas,sees,sees,sees,väljas
2023-11-28 04:00:00+02:00,82.66,sees,väljas,sees,sees,sees,väljas
2023-11-28 05:00:00+02:00,120.54,sees,väljas,sees,sees,sees,väljas
2023-11-28 06:00:00+02:00,180.03,sees,väljas,sees,sees,sees,väljas
2023-11-28 07:00:00+02:00,250.08,sees,väljas,sees,sees,sees,väljas
2023-11-28 08:00:00+02:00,250.02,väljas,väljas,sees,sees,väljas,väljas
2023-11-28 09:00:00+02:00,139.73,sees,väljas,sees,sees,sees,väljas
2023-11-28 10:00:00+02:00,142.15,sees,väljas,sees,sees,sees,väljas
2023-11-28 11:00:00+02:00,139.24,sees,väljas,sees,sees,sees,väljas
2023-11-28 12:00:00+02:00,141.21,sees,väljas,sees,sees,sees,väljas
2023-11-28 13:00:00+02:00,144.6,sees,väljas,sees,sees,sees,väljas
2023-11-28 14:00:00+02:00,150.0,sees,väljas,sees,sees,sees,väljas
2023-11-28 15:00:00+02:00,164.01,sees,väljas,sees,sees,sees,väljas
2023-11-28 16:00:00+02:00,189.98,sees,väljas,sees,sees,sees,väljas
2023-11-28 17:00:00+02:00,177.0,sees,väljas,sees,sees,sees,väljas
2023-11-28 18:00:00+02:00,159.1,sees,väljas,sees,sees,sees,väljas
2023-11-28 19:00:00+02:00,138.85,sees,väljas,sees,sees,sees,väljas
2023-11-28 20:00:00+02:00,125.44,sees,väljas,sees,sees,sees,väljas
2023-11-28 21:00:00+02:00,115.85,sees,väljas,sees,sees,sees,väljas
Kuupäev,Hind
2023-11-28 22:00:00+02:00,105.62
