Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-08-04 00:00:00+03:00,51.04,sees,väljas,sees,sees,sees,väljas
2023-08-04 00:00:00+03:00,51.04,sees,väljas,sees,sees,sees,väljas
2023-08-04 01:00:00+03:00,17.65,sees,väljas,sees,sees,sees,väljas
2023-08-04 02:00:00+03:00,17.39,sees,väljas,sees,sees,sees,väljas
2023-08-04 03:00:00+03:00,17.2,sees,väljas,sees,sees,sees,väljas
2023-08-04 04:00:00+03:00,16.1,sees,sees,sees,sees,sees,väljas
2023-08-04 05:00:00+03:00,15.0,sees,sees,sees,sees,sees,sees
2023-08-04 06:00:00+03:00,60.02,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 07:00:00+03:00,106.36,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 08:00:00+03:00,122.41,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 09:00:00+03:00,119.48,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 10:00:00+03:00,60.08,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 11:00:00+03:00,53.72,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 12:00:00+03:00,24.79,sees,väljas,sees,sees,sees,väljas
2023-08-04 13:00:00+03:00,24.35,sees,väljas,sees,sees,sees,väljas
2023-08-04 14:00:00+03:00,22.1,sees,väljas,sees,sees,sees,väljas
2023-08-04 15:00:00+03:00,20.53,sees,väljas,sees,sees,sees,väljas
2023-08-04 16:00:00+03:00,20.18,sees,väljas,sees,sees,sees,väljas
2023-08-04 17:00:00+03:00,65.04,sees,väljas,sees,sees,sees,väljas
2023-08-04 18:00:00+03:00,94.73,sees,väljas,sees,sees,sees,väljas
2023-08-04 19:00:00+03:00,144.64,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 20:00:00+03:00,159.17,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 21:00:00+03:00,162.61,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 22:00:00+03:00,158.47,väljas,väljas,väljas,sees,väljas,väljas
2023-08-04 23:00:00+03:00,114.64,väljas,väljas,väljas,sees,väljas,väljas
2023-08-05 00:00:00+03:00,98.49,sees,väljas,sees,sees,sees,väljas
2023-08-05 00:00:00+03:00,98.49,sees,väljas,sees,sees,sees,väljas
2023-08-05 01:00:00+03:00,89.51,sees,väljas,sees,sees,sees,väljas
2023-08-05 02:00:00+03:00,15.01,sees,sees,sees,sees,sees,sees
2023-08-05 03:00:00+03:00,15.03,sees,sees,sees,sees,sees,väljas
2023-08-05 04:00:00+03:00,90.3,sees,väljas,sees,sees,sees,väljas
2023-08-05 05:00:00+03:00,90.24,sees,väljas,sees,sees,sees,väljas
2023-08-05 06:00:00+03:00,90.54,sees,väljas,sees,sees,sees,väljas
2023-08-05 07:00:00+03:00,94.55,sees,väljas,sees,sees,sees,väljas
2023-08-05 08:00:00+03:00,93.86,sees,väljas,sees,sees,sees,väljas
2023-08-05 09:00:00+03:00,93.0,sees,väljas,sees,sees,sees,väljas
2023-08-05 10:00:00+03:00,89.52,sees,väljas,sees,sees,sees,väljas
2023-08-05 11:00:00+03:00,80.1,sees,väljas,sees,sees,sees,väljas
2023-08-05 12:00:00+03:00,16.96,sees,väljas,sees,sees,sees,väljas
2023-08-05 13:00:00+03:00,16.54,sees,väljas,sees,sees,sees,väljas
2023-08-05 14:00:00+03:00,16.41,sees,väljas,sees,sees,sees,väljas
2023-08-05 15:00:00+03:00,16.51,sees,väljas,sees,sees,sees,väljas
2023-08-05 16:00:00+03:00,16.83,sees,väljas,sees,sees,sees,väljas
2023-08-05 17:00:00+03:00,40.01,sees,väljas,sees,sees,sees,väljas
2023-08-05 18:00:00+03:00,98.03,sees,väljas,sees,sees,sees,väljas
2023-08-05 19:00:00+03:00,112.2,sees,väljas,sees,sees,sees,väljas
2023-08-05 20:00:00+03:00,126.86,sees,väljas,sees,sees,sees,väljas
2023-08-05 21:00:00+03:00,134.82,sees,väljas,sees,sees,sees,väljas
2023-08-05 22:00:00+03:00,109.91,sees,väljas,sees,sees,sees,väljas
2023-08-05 23:00:00+03:00,99.89,sees,väljas,sees,sees,sees,väljas
2023-08-06 00:00:00+03:00,87.3,sees,väljas,sees,sees,sees,väljas
2023-08-06 00:00:00+03:00,87.3,sees,väljas,sees,sees,sees,väljas
2023-08-06 01:00:00+03:00,88.83,sees,väljas,sees,sees,sees,väljas
2023-08-06 02:00:00+03:00,40.01,sees,väljas,sees,sees,sees,väljas
2023-08-06 03:00:00+03:00,13.47,sees,väljas,sees,sees,sees,väljas
2023-08-06 04:00:00+03:00,12.95,sees,väljas,sees,sees,sees,väljas
