Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator
2023-05-20 22:00:00+03:00,81.06,sees,väljas,sees,sees,sees
2023-05-20 23:00:00+03:00,76.71,sees,sees,sees,sees,sees
2023-05-21 00:00:00+03:00,71.26,sees,sees,sees,sees,sees
2023-05-21 01:00:00+03:00,50.95,sees,väljas,sees,sees,sees
2023-05-21 02:00:00+03:00,39.08,sees,väljas,sees,sees,sees
2023-05-21 03:00:00+03:00,33.07,sees,väljas,sees,sees,sees
2023-05-21 04:00:00+03:00,28.07,sees,väljas,sees,sees,sees
2023-05-21 05:00:00+03:00,29.23,sees,väljas,sees,sees,sees
2023-05-21 06:00:00+03:00,27.58,sees,väljas,sees,sees,sees
2023-05-21 07:00:00+03:00,1.24,sees,väljas,sees,sees,sees
2023-05-21 08:00:00+03:00,2.57,sees,väljas,sees,sees,sees
2023-05-21 09:00:00+03:00,3.38,sees,väljas,sees,sees,sees
2023-05-21 10:00:00+03:00,2.14,sees,väljas,sees,sees,sees
2023-05-21 11:00:00+03:00,0.0,sees,väljas,sees,sees,sees
2023-05-21 12:00:00+03:00,-0.48,sees,väljas,sees,sees,sees
2023-05-21 13:00:00+03:00,-1.11,sees,sees,sees,sees,sees
2023-05-21 14:00:00+03:00,-1.11,sees,sees,sees,sees,sees
2023-05-21 15:00:00+03:00,-1.11,sees,väljas,sees,sees,sees
2023-05-21 16:00:00+03:00,-1.11,sees,väljas,sees,sees,sees
2023-05-21 17:00:00+03:00,-0.41,sees,väljas,sees,sees,sees
2023-05-21 18:00:00+03:00,2.22,sees,väljas,sees,sees,sees
2023-05-21 19:00:00+03:00,41.34,sees,väljas,sees,sees,sees
2023-05-21 20:00:00+03:00,85.49,sees,väljas,sees,sees,sees
2023-05-21 21:00:00+03:00,90.87,sees,väljas,sees,sees,sees
2023-05-21 22:00:00+03:00,88.82,sees,väljas,sees,sees,sees
2023-05-21 23:00:00+03:00,87.78,sees,väljas,sees,sees,sees
2023-05-22 00:00:00+03:00,76.91,sees,sees,sees,sees,sees
2023-05-22 18:00:00+03:00,110.07,sees,sees,sees,sees,sees
2023-05-22 19:00:00+03:00,90.0,sees,väljas,sees,sees,sees
2023-05-22 20:00:00+03:00,108.01,sees,väljas,sees,sees,sees
2023-05-22 21:00:00+03:00,119.0,sees,väljas,sees,sees,sees
2023-05-22 22:00:00+03:00,112.8,sees,väljas,sees,sees,sees
2023-05-22 23:00:00+03:00,104.24,sees,väljas,sees,sees,sees
2023-05-23 00:00:00+03:00,84.48,sees,väljas,sees,sees,sees
2023-05-23 01:00:00+03:00,70.54,sees,väljas,sees,sees,sees
2023-05-23 02:00:00+03:00,65.71,sees,väljas,sees,sees,sees
2023-05-23 03:00:00+03:00,65.51,sees,väljas,sees,sees,sees
2023-05-23 04:00:00+03:00,62.12,sees,väljas,sees,sees,sees
2023-05-23 05:00:00+03:00,61.73,sees,väljas,sees,sees,sees
2023-05-23 06:00:00+03:00,76.76,sees,väljas,sees,sees,sees
2023-05-23 07:00:00+03:00,98.66,sees,väljas,sees,sees,sees
2023-05-23 08:00:00+03:00,105.39,sees,väljas,sees,sees,sees
2023-05-23 09:00:00+03:00,101.0,sees,väljas,sees,sees,sees
2023-05-23 10:00:00+03:00,91.75,sees,väljas,sees,sees,sees
2023-05-23 11:00:00+03:00,83.32,sees,väljas,sees,sees,sees
2023-05-23 12:00:00+03:00,72.74,sees,väljas,sees,sees,sees
2023-05-23 13:00:00+03:00,43.88,sees,väljas,sees,sees,sees
2023-05-23 14:00:00+03:00,24.04,sees,sees,sees,sees,sees
2023-05-23 15:00:00+03:00,9.8,sees,sees,sees,sees,sees
2023-05-23 16:00:00+03:00,86.39,sees,väljas,sees,sees,sees
2023-05-23 17:00:00+03:00,105.0,sees,väljas,sees,sees,sees
2023-05-23 18:00:00+03:00,95.09,sees,väljas,sees,sees,sees
2023-05-23 19:00:00+03:00,104.28,sees,väljas,sees,sees,sees
2023-05-23 20:00:00+03:00,108.05,sees,väljas,sees,sees,sees
2023-05-23 21:00:00+03:00,108.03,sees,väljas,sees,sees,sees
